Sale?,Name,"Prices, Shipping, and Deals"
,"GIGABYTE AORUS GeForce RTX 2080 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N208SAORUS-8GC Video Card","$1,229.99 $1,109.99 (4 Offers)–Save: 10%$75.00 Shipping"
,NVIDIA GeForce RTX 2080 Ti Graphic Card - 1.35 GHz Core - 1.64 GHz Boost Clock - 11 GB GDDR6 - Dual Slot Space Required,"$1,799.00 (2 Offers)–Free Shipping"
,Asus Turbo GeForce RTX 2080 Graphic Card 8GB GDDR6 Type-C Video Card,"$1,099.00 –Free Shipping"
,"GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SWF3OC-8GD Video Card","$1,029.99 $1,009.99 (3 Offers)–$45.00 Shipping"
,"GIGABYTE GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMING OC-8GC Video Card","$1,099.99 $1,029.99 (4 Offers)–Save: 6%$45.00 Shipping"
SALE,"GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card","$1,699.99 $1,649.99 (4 Offers)–Sale Ends in 2 Hours - $45.00 Shipping"
,"EVGA GeForce RTX 2080 Ti BLACK EDITION GAMING, 11G-P4-2281-RX, 11GB GDDR6, Dual HDB Fans & RGB LED",$999.99 (2 Offers)–Free Shipping
,"EVGA GeForce RTX 2080 Ti XC ULTRA GAMING Video Card, 11G-P4-2383-RX, 11GB GDDR6, Dual HDB Fans & RGB LED","$1,149.99 $999.99 (3 Offers)–Save: 13%Free Shipping"
,"GIGABYTE AORUS GeForce RTX 2080 8G Graphics Card, 3 x Stacked WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N2080AORUS-8GC Video Card","$1,021.90 –Free Shipping"
SALE,ASUS GeForce RTX 2080 Ti 11G Turbo Edition GDDR6 HDMI DP 1.4 Type-C Graphics Card,"$1,999.99 –Sale Ends in 2 Hours - $45.00 Shipping"
SALE,"GIGABYTE AORUS GeForce RTX 2080 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N208SAORUS-8GC Video Card","$1,349.99 –Sale Ends in 6 Days (Sat) - Free Shipping"
,Colorful iGame GeForce RTX 2080 Ti Advanced OC Graphics Card GDDR6 11G Computer Video Card 1635MHz DirectX 12.1,"$1,649.99 (3 Offers)–$75.00 Shipping"
SALE,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,849.99 (2 Offers)–Sale Ends in 2 Hours - $75.00 Shipping"
,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,719.99 (6 Offers)–$75.00 Shipping"
,ASUS ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING),"$1,199.99 $1,049.99 (3 Offers)–Save: 13%$75.00 Shipping"
,ASUS GeForce RTX 2080 Overclocked 8G GDDR6 Dual-Fan Edition VR Ready HDMI DP 1.4 USB Type-C Graphics Card (DUAL-RTX2080-O8G),"$1,266.99 (1 Offers)–$10.99 Shipping"
,MSI GeForce RTX 2080 TI GAMING X TRIO Video Card,"$1,799.99 $1,749.99 (5 Offers)–$105.00 Shipping"
,ASUS Dual GeForce RTX 2080 Ti DirectX 12 DUAL-RTX2080TI-O11G 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,799.00 (1 Offers)–Free Shipping"
,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"$1,352.99 $1,304.95 (4 Offers)–Free Shipping"
SALE,GIGABYTE AORUS GeForce RTX 2080 TI DirectX 12 GV-N208TAORUS X-11GC Video Card,"$1,899.99 (3 Offers)–Sale Ends in 2 Hours - $105.00 Shipping"
SALE,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-A11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,649.99 –Sale Ends in 2 Hours - $75.00 Shipping"
,ASUS Dual GeForce RTX 2080 SUPER DUAL-RTX2080S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$999.67 (3 Offers)–Free Shipping
,MSI GeForce RTX 2080 Ti DUKE OCV1 11GB GDDR6 Graphics Card (GEFORCE RTX 2080 TI DUKE 11G OCV1),"$1,799.00 –$10.85 Shipping"
,PNY GeForce RTX 2080 SUPER Graphic Card - 8 GB GDDR6,"$1,099.00 (2 Offers)–Free Shipping"
,"GIGABYTE GeForce RTX 2080 TURBO OC 8G Graphics Card, Turbo Style Fan, 8GB 256-Bit GDDR6, GV-N2080TURBO OC-8GC Video Card",$908.90 –Free Shipping
SALE,GIGABYTE RTX 2080 TI 11GB GDDR6 GV-N208TWF3-11GC PCI Express 3.0 x16 Video Card,"$1,649.99 (4 Offers)–Sale Ends in 2 Hours - $45.00 Shipping"
,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS W-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,129.90 (3 Offers)–Free Shipping"
,"EVGA GeForce RTX 2080 Ti XC GAMING, 11G-P4-2382-KR, 11GB GDDR6, Dual HDB Fans & RGB LED","$1,799.00 –Free Shipping"
,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS WB-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,489.99 (2 Offers)–Free Shipping"
,PNY GeForce RTX 2080 Ti 11GB Blower 352-Bit GDDR6 PCI Express 3.0 SLI Support Video Card,"$1,799.00 –Free Shipping"
SALE,"GIGABYTE GeForce RTX 2080 SUPER GAMING OC WHITE 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMINGOC WHITE-8GD Video Card","$1,099.99 –Sale Ends in 2 Hours - $45.00 Shipping"
,"PNY GeForce RTX 2080 XLR8 Gaming Overclocked Edition Graphics Card, VCG20808DFPPB-O","$1,099.00 (3 Offers)–Free Shipping"
