Sale?,Name,"Prices, Shipping, and Deals"
,"ZOTAC GAMING GeForce RTX 2070 SUPER MINI 8GB GDDR6 256-bit 14 Gbps Gaming Graphics Card, IceStorm 2.0, Super Compact, ZT-T20710E-10M",$529.99 (5 Offers)–Free Shipping
,PNY GeForce RTX 2070 SUPER Graphic Card - 8 GB GDDR6,$857.06 (1 Offers)–$25.00 Shipping
,"GIGABYTE AORUS GeForce RTX 2070 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N207SAORUS-8GC Video Card",$899.99 $729.99 (4 Offers)–Save: 19%$75.00 Shipping
,"GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SWF3OC-8GD Video Card",$749.99 $629.99 (7 Offers)–Save: 16%$45.00 Shipping
SALE,"GIGABYTE AORUS GeForce RTX 2070 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N207SAORUS-8GC Video Card",$974.99 –Sale Ends in 6 Days (Sat) - Free Shipping
,"GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GD Video Card",$727.12 $686.27 (4 Offers)–Save: 6%Free Shipping
,"PNY GeForce RTX 2070 SUPER Mini - Graphics card - GF RTX 2070 SUPER - 8 GB GDDR6 - PCIe 3.0 x16 - HDMI, 3 x DisplayPort",$885.96 –$31.00 Shipping
SALE,"Colorful iGame GeForce RTX 2070 Super Ultra OC GDDR6 8G Graphics Card, Dual Fans, 8GB 256-Bit GDDR6, iGame GeForce RTX 2070 SUPER Ultra OC Video Card HDMI + DP + USB Type C",$749.99 –Sale Ends in 2 Hours - $10.00 Shipping
,ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2070S-A8G-GAMING),$849.99 $689.99 (3 Offers)–Save: 19%$75.00 Shipping
,"GIGABYTE GeForce RTX 2070 Super GAMING OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GC Video Card",$719.99 (3 Offers)–$45.00 Shipping
,"GIGABYTE AORUS GeForce RTX 2070 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N207SAORUS-8GC Video Card",$776.99 –$99.99 Shipping
SALE,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$959.99 $794.98 (4 Offers)–Sale Ends in 2 Hours - Save: 17%Free Shipping
,ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition  HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO),$729.99 $689.99 (3 Offers)–Save: 5%$75.00 Shipping
,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER GAMING X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$729.99 $669.99 (4 Offers)–Save: 8%$105.00 Shipping
,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super Armor OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$899.99 $879.99 (2 Offers)–Free Shipping
SALE,"GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SWF3OC-8GD Video Card",$849.99 –Sale Ends in 6 Days (Sat) - Free Shipping
,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$844.99 –Free Shipping
,GIGABYTE GeForce RTX 2070 SUPER DirectX 12 GV-N207SGAMINGOC WHITE-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,$724.99 (4 Offers)–$99.99 Shipping
SALE,"GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GD Video Card",$849.99 –Sale Ends in 6 Days (Sat) - Free Shipping
