Sale?,URL,Name,Current Price,Shipping,Page URL
SALE,"<a class=""item-title"" href=""https://www.newegg.com/black-asus-tuf-gaming-vg24vq-90lm0570-b011b0-23-6/p/N82E16824281027?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-281-027-_-Product"" title=""View Details"">ASUS TUF Gaming VG24VQ 24"" Full HD 1920 x 1080 1ms MPRT 144Hz 2 x HDMI, DisplayPort AMD FreeSync Asus Eye Care with Ultra Low-Blue Light &amp; Flicker-Free Backlit LED Curved Gaming Monitor</a>","ASUS TUF Gaming VG24VQ 24"" Full HD 1920 x 1080 1ms MPRT 144Hz 2 x HDMI, DisplayPort AMD FreeSync Asus Eye Care with Ultra Low-Blue Light & Flicker-Free Backlit LED Curved Gaming Monitor",$169.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824569006?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-569-006-_-Product"" title=""View Details"">Westinghouse WM27PX9019 27"" Full HD 1920 x 1080 144Hz HDMI VGA DisplayPort AMD FreeSync Technology Flicker-Free Edgeless Design Eye Care Technology Widescreen Backlit LED Gaming Monitor</a>","Westinghouse WM27PX9019 27"" Full HD 1920 x 1080 144Hz HDMI VGA DisplayPort AMD FreeSync Technology Flicker-Free Edgeless Design Eye Care Technology Widescreen Backlit LED Gaming Monitor",$169.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>","Z-EDGE UG27 27"" 1080P Full HD 1920x1080 1ms (MPRT) 165Hz Refresh Rate 1500R Curved Gaming Monitor, FreeSync, HDR, Ultra-Slim Bezel, DisplayPort x2, HDMI x2",$239.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>","VIOTEK GNV29CB Ultrawide Curved 29-Inch Gaming Monitor  120Hz UWFHD 21:9 w/ Immersive 1200R VA Panel  FreeSync,  3-Year Warranty",$219.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>","Z-EDGE UG32 32"" SVA 1080P Full HD1920x1080 165Hz MPRT 1ms 1500R Curved Gaming Monitor, HDMI x2+DP x2, 178° View Angle, Built in Speakers, Eye-Care Technology",$289.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>",EACH Full HD Webcam 1080p Webcam Autofocus Camera HDR  USB Webcam with Privacy Cover Widescreen Video Calling and Recording for Computer Laptop PC Skype Stream,$39.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/samsung-ls24f354fhnxza-23-5-full-hd/p/N82E16824022797?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-022-797-_-Product"" title=""View Details"">SAMSUNG S24F354 24"" (Actual size 23.5"") Full HD 1920 x 1080 4ms (GTG) VGA HDMI AMD FreeSync Flicker Free Technology Super Slim Design LED Backlit Gaming Monitor</a>","SAMSUNG S24F354 24"" (Actual size 23.5"") Full HD 1920 x 1080 4ms (GTG) VGA HDMI AMD FreeSync Flicker Free Technology Super Slim Design LED Backlit Gaming Monitor",$109.99,$4.99 Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/asus-vp249he-23-8-full-hd/p/N82E16824236967?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-236-967-_-Product"" title=""View Details"">ASUS VP249HE 24"" (Actual size 23.8"") Full HD 1920 x 1080 Up to 75Hz 5ms (GTG) HDMI VGA Asus Eye Care with Ultra Low Blue-Light Filter &amp; Flicker-Free Frameless LED Backlit IPS Monitor</a>","ASUS VP249HE 24"" (Actual size 23.8"") Full HD 1920 x 1080 Up to 75Hz 5ms (GTG) HDMI VGA Asus Eye Care with Ultra Low Blue-Light Filter & Flicker-Free Frameless LED Backlit IPS Monitor",$129.99,$4.99 Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824475046?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-475-046-_-Product"" title=""View Details"">MSI OPTIX MAG272CR 27"" Full HD 1920 x 1080 1 ms 165 Hz HDMI, DisplayPort, USB-C AMD FreeSync Curved Gaming Monitor</a>","MSI OPTIX MAG272CR 27"" Full HD 1920 x 1080 1 ms 165 Hz HDMI, DisplayPort, USB-C AMD FreeSync Curved Gaming Monitor",$264.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824236994?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-236-994-_-Product"" title=""View Details"">ASUS VG278QR 27"" Full HD 1920 x 1080 165Hz 0.5ms DisplayPort HDMI DVI-D G-SYNC Compatible Asus Eye Care Flciker-Free Technology Low Blue Light Built-in Speakers Backlit LED Gaming Monitor</a>","ASUS VG278QR 27"" Full HD 1920 x 1080 165Hz 0.5ms DisplayPort HDMI DVI-D G-SYNC Compatible Asus Eye Care Flciker-Free Technology Low Blue Light Built-in Speakers Backlit LED Gaming Monitor",$249.00,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
