Sale?,URL,Name,Current Price,Shipping,Page URL
SALE,"<a class=""item-title"" href=""https://www.newegg.com/black-asus-tuf-gaming-vg24vq-90lm0570-b011b0-23-6/p/N82E16824281027?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-281-027-_-Product"" title=""View Details"">ASUS TUF Gaming VG24VQ 24"" Full HD 1920 x 1080 1ms MPRT 144Hz 2 x HDMI, DisplayPort AMD FreeSync Asus Eye Care with Ultra Low-Blue Light &amp; Flicker-Free Backlit LED Curved Gaming Monitor</a>","ASUS TUF Gaming VG24VQ 24"" Full HD 1920 x 1080 1ms MPRT 144Hz 2 x HDMI, DisplayPort AMD FreeSync Asus Eye Care with Ultra Low-Blue Light & Flicker-Free Backlit LED Curved Gaming Monitor",$169.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824569006?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-569-006-_-Product"" title=""View Details"">Westinghouse WM27PX9019 27"" Full HD 1920 x 1080 144Hz HDMI VGA DisplayPort AMD FreeSync Technology Flicker-Free Edgeless Design Eye Care Technology Widescreen Backlit LED Gaming Monitor</a>","Westinghouse WM27PX9019 27"" Full HD 1920 x 1080 144Hz HDMI VGA DisplayPort AMD FreeSync Technology Flicker-Free Edgeless Design Eye Care Technology Widescreen Backlit LED Gaming Monitor",$169.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>",EACH Full HD Webcam 1080p Webcam Autofocus Camera HDR  USB Webcam with Privacy Cover Widescreen Video Calling and Recording for Computer Laptop PC Skype Stream,$39.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/samsung-ls24f354fhnxza-23-5-full-hd/p/N82E16824022797?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-022-797-_-Product"" title=""View Details"">SAMSUNG S24F354 24"" (Actual size 23.5"") Full HD 1920 x 1080 4ms (GTG) VGA HDMI AMD FreeSync Flicker Free Technology Super Slim Design LED Backlit Gaming Monitor</a>","SAMSUNG S24F354 24"" (Actual size 23.5"") Full HD 1920 x 1080 4ms (GTG) VGA HDMI AMD FreeSync Flicker Free Technology Super Slim Design LED Backlit Gaming Monitor",$109.99,$4.99 Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/asus-vp249he-23-8-full-hd/p/N82E16824236967?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-236-967-_-Product"" title=""View Details"">ASUS VP249HE 24"" (Actual size 23.8"") Full HD 1920 x 1080 Up to 75Hz 5ms (GTG) HDMI VGA Asus Eye Care with Ultra Low Blue-Light Filter &amp; Flicker-Free Frameless LED Backlit IPS Monitor</a>","ASUS VP249HE 24"" (Actual size 23.8"") Full HD 1920 x 1080 Up to 75Hz 5ms (GTG) HDMI VGA Asus Eye Care with Ultra Low Blue-Light Filter & Flicker-Free Frameless LED Backlit IPS Monitor",$129.99,$4.99 Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824475046?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-475-046-_-Product"" title=""View Details"">MSI OPTIX MAG272CR 27"" Full HD 1920 x 1080 1 ms 165 Hz HDMI, DisplayPort, USB-C AMD FreeSync Curved Gaming Monitor</a>","MSI OPTIX MAG272CR 27"" Full HD 1920 x 1080 1 ms 165 Hz HDMI, DisplayPort, USB-C AMD FreeSync Curved Gaming Monitor",$264.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824236994?Description=1080p monitor&amp;cm_re=1080p_monitor-_-24-236-994-_-Product"" title=""View Details"">ASUS VG278QR 27"" Full HD 1920 x 1080 165Hz 0.5ms DisplayPort HDMI DVI-D G-SYNC Compatible Asus Eye Care Flciker-Free Technology Low Blue Light Built-in Speakers Backlit LED Gaming Monitor</a>","ASUS VG278QR 27"" Full HD 1920 x 1080 165Hz 0.5ms DisplayPort HDMI DVI-D G-SYNC Compatible Asus Eye Care Flciker-Free Technology Low Blue Light Built-in Speakers Backlit LED Gaming Monitor",$249.00,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>","Portable Monitor - T16A 15 Inch Computer Display 1920×1080 Full HD IPS Screen USB C Gaming Monitor with Type-C Mini HDMI for Laptop PC MAC Phone Xbox PS4, Include Smart Cover & Screen Protector",$179.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>",USB Webcam HD 1080P Web Camera USB Webcam Computer Cam Built-in Microphone Plug And Play for PC Laptop Business Conference,$15.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
SALE,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>","Portable Monitor- T13  13.3 Inch Computer Display 1920×1080  USB C Gaming Monitor IPS Screen  Type-C and Mini HDMI Input for PS3 PS4 Xbox Raspberry Pi Laptop PC MAC, Include Smart Case",$149.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor&page=1
