Sale?,URL,Name,Current Price,Shipping,Page URL
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824569006?Item=N82E16824569006&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-569-006-_-Product"" title=""View Details"">Westinghouse WM27PX9019 27"" Full HD 1920 x 1080 144Hz HDMI VGA DisplayPort AMD FreeSync Technology Flicker-Free Edgeless Design Eye Care Technology Widescreen Backlit LED Gaming Monitor</a>","Westinghouse WM27PX9019 27"" Full HD 1920 x 1080 144Hz HDMI VGA DisplayPort AMD FreeSync Technology Flicker-Free Edgeless Design Eye Care Technology Widescreen Backlit LED Gaming Monitor",$169.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/westinghouse-wh27fx9019-27-full-hd/p/N82E16824569002?Item=N82E16824569002&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-569-002-_-Product"" title=""View Details"">Westinghouse WH27FX9019 27"" Full HD 1920 x 1080 HDMI VGA Flicker-Free Technology Low Blue Light Filter Zero Bezel Frame Widescreen Backlit LED IPS Monitor</a>","Westinghouse WH27FX9019 27"" Full HD 1920 x 1080 HDMI VGA Flicker-Free Technology Low Blue Light Filter Zero Bezel Frame Widescreen Backlit LED IPS Monitor",$129.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824012014?Item=N82E16824012014&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-012-014-_-Product"" title=""View Details"">GIGABYTE G27FC 27"" 165Hz 1080P Curved Gaming Monitor, 1920 x 1080 VA 1500R Display, 1ms (MPRT) Response Time, 90% DCI-P3, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 1.4, 2x USB 3.0</a>","GIGABYTE G27FC 27"" 165Hz 1080P Curved Gaming Monitor, 1920 x 1080 VA 1500R Display, 1ms (MPRT) Response Time, 90% DCI-P3, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 1.4, 2x USB 3.0",$229.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824116985?Item=N82E16824116985&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-116-985-_-Product"" title=""View Details"">ViewSonic XG2705 27"" Full HD 1920 x 1080 1ms (GTG) 144 Hz HDMI, DisplayPort AMD FreeSync Technology Built-in Speakers Gaming Monitor</a>","ViewSonic XG2705 27"" Full HD 1920 x 1080 1ms (GTG) 144 Hz HDMI, DisplayPort AMD FreeSync Technology Built-in Speakers Gaming Monitor",$204.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824012016?Item=N82E16824012016&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-012-016-_-Product"" title=""View Details"">GIGABYTE G27F 27"" 144Hz 1080P Gaming Monitor, 1920 x 1080 IPS Display, 1ms (MPRT) Response Time, 95% DCI-P3, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 1.4, 2x USB 3.0</a>","GIGABYTE G27F 27"" 144Hz 1080P Gaming Monitor, 1920 x 1080 IPS Display, 1ms (MPRT) Response Time, 95% DCI-P3, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 1.4, 2x USB 3.0",$229.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824116781?Item=N82E16824116781&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-116-781-_-Product"" title=""View Details"">ViewSonic VX2757-MHD 27"" Full HD 1920 x 1080 2ms 75Hz HDMI VGA DisplayPort AMD FreeSync Built-in Speakers Anti-Glare Backlit LED Gaming Monitor</a>","ViewSonic VX2757-MHD 27"" Full HD 1920 x 1080 2ms 75Hz HDMI VGA DisplayPort AMD FreeSync Built-in Speakers Anti-Glare Backlit LED Gaming Monitor",$164.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/acer-g276hl-kbmidx-27-full-hd/p/N82E16824011151?Item=N82E16824011151&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-011-151-_-Product"" title=""View Details"">Acer G6 Series G276HL Kbmidx 27"" Full HD 1920 x 1080 5ms 60Hz DVI HDMI VGA Built-in Speakers Flicker-Free Acer ComfyView LED Backlit LCD Monitor</a>","Acer G6 Series G276HL Kbmidx 27"" Full HD 1920 x 1080 5ms 60Hz DVI HDMI VGA Built-in Speakers Flicker-Free Acer ComfyView LED Backlit LCD Monitor",$139.99,$4.99 Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/hp-1fh50a8-aba-27-full-hd/p/1B4-001S-00AF8?Item=9SIA9HACB78174&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-1B4-001S-00AF8-_-Product"" title=""View Details"">HP EliteDisplay E273 27"" Full HD 1920 x 1080 5ms VGA HDMI DisplayPort HDCP Support USB 3.0 Hub Anti-Glare LED Backlit IPS Monitor</a>","HP EliteDisplay E273 27"" Full HD 1920 x 1080 5ms VGA HDMI DisplayPort HDCP Support USB 3.0 Hub Anti-Glare LED Backlit IPS Monitor",$199.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=2
SALE,"<a class=""item-title"" href=""https://www.newegg.com/tiem-gaming-monitor-black/p/15Z-02HB-00001?Item=9SIANZTBY61548&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-9SIANZTBY61548-_-Product"" title=""View Details"">27"" 144Hz 1920P Gaming Monitor, 1920 x 1080@144Hz Display, 1ms (MPRT) Response Time, 94% DCI-P3,  FreeSync Premium Pro, 1x Display Port , 3x HDMI .</a>","27"" 144Hz 1920P Gaming Monitor, 1920 x 1080@144Hz Display, 1ms (MPRT) Response Time, 94% DCI-P3,  FreeSync Premium Pro, 1x Display Port , 3x HDMI .",$369.66,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=2
SALE,"<a class=""item-title"" href=""https://www.newegg.com/benq-gl2780-27-full-hd/p/N82E16824014656?Item=N82E16824014656&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-014-656-_-Product"" title=""View Details"">BenQ GL2780 27"" Full HD 1920 x 1080 75Hz 1ms VGA DVI HDMI DisplayPort Built-in Speakers Flicker-Free Technology LED Backlit LCD Monitor</a>","BenQ GL2780 27"" Full HD 1920 x 1080 75Hz 1ms VGA DVI HDMI DisplayPort Built-in Speakers Flicker-Free Technology LED Backlit LCD Monitor",$149.99,$4.99 Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=3
