Sale?,URL,Name,Current Price,Shipping,Page URL
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824569006?Item=N82E16824569006&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-569-006-_-Product"" title=""View Details"">Westinghouse WM27PX9019 27"" Full HD 1920 x 1080 144Hz HDMI VGA DisplayPort AMD FreeSync Technology Flicker-Free Edgeless Design Eye Care Technology Widescreen Backlit LED Gaming Monitor</a>","Westinghouse WM27PX9019 27"" Full HD 1920 x 1080 144Hz HDMI VGA DisplayPort AMD FreeSync Technology Flicker-Free Edgeless Design Eye Care Technology Widescreen Backlit LED Gaming Monitor",$169.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/westinghouse-wh27fx9019-27-full-hd/p/N82E16824569002?Item=N82E16824569002&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-569-002-_-Product"" title=""View Details"">Westinghouse WH27FX9019 27"" Full HD 1920 x 1080 HDMI VGA Flicker-Free Technology Low Blue Light Filter Zero Bezel Frame Widescreen Backlit LED IPS Monitor</a>","Westinghouse WH27FX9019 27"" Full HD 1920 x 1080 HDMI VGA Flicker-Free Technology Low Blue Light Filter Zero Bezel Frame Widescreen Backlit LED IPS Monitor",$129.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>","Z-EDGE UG27 27"" 1080P Full HD 1920x1080 1ms (MPRT) 165Hz Refresh Rate 1500R Curved Gaming Monitor, FreeSync, HDR, Ultra-Slim Bezel, DisplayPort x2, HDMI x2",$239.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>","Z-EDGE UG32 32"" SVA 1080P Full HD1920x1080 165Hz MPRT 1ms 1500R Curved Gaming Monitor, HDMI x2+DP x2, 178° View Angle, Built in Speakers, Eye-Care Technology",$289.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>","Z-EDGE U27I 27"" Frameless Full HD 1080P 1920x1080 IPS Screen LED Backlight Monitor, with 75Hz refresh rate and Eye-Care technology, 178° wide view angle, Built-in speakers, VGA+HDMI",$149.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
,"<a class=""link-blue"" href=""https://www.newegg.com/sellers/index.php/marketing-sponsored-product-ads/"">learn more</a>","Z-EDGE U24C 24"" 1080P 1920x1080 Full HD 5ms (MPRT) VGA+HDMI LED Backlit 2800R Curved Monitor, with Eye-Care Technology, Built-in Speakers",$139.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824012014?Item=N82E16824012014&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-012-014-_-Product"" title=""View Details"">GIGABYTE G27FC 27"" 165Hz 1080P Curved Gaming Monitor, 1920 x 1080 VA 1500R Display, 1ms (MPRT) Response Time, 90% DCI-P3, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 1.4, 2x USB 3.0</a>","GIGABYTE G27FC 27"" 165Hz 1080P Curved Gaming Monitor, 1920 x 1080 VA 1500R Display, 1ms (MPRT) Response Time, 90% DCI-P3, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 1.4, 2x USB 3.0",$229.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824116985?Item=N82E16824116985&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-116-985-_-Product"" title=""View Details"">ViewSonic XG2705 27"" Full HD 1920 x 1080 1ms (GTG) 144 Hz HDMI, DisplayPort AMD FreeSync Technology Built-in Speakers Gaming Monitor</a>","ViewSonic XG2705 27"" Full HD 1920 x 1080 1ms (GTG) 144 Hz HDMI, DisplayPort AMD FreeSync Technology Built-in Speakers Gaming Monitor",$204.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824012016?Item=N82E16824012016&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-012-016-_-Product"" title=""View Details"">GIGABYTE G27F 27"" 144Hz 1080P Gaming Monitor, 1920 x 1080 IPS Display, 1ms (MPRT) Response Time, 95% DCI-P3, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 1.4, 2x USB 3.0</a>","GIGABYTE G27F 27"" 144Hz 1080P Gaming Monitor, 1920 x 1080 IPS Display, 1ms (MPRT) Response Time, 95% DCI-P3, FreeSync Premium, 1x Display Port 1.2, 2x HDMI 1.4, 2x USB 3.0",$229.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
SALE,"<a class=""item-title"" href=""https://www.newegg.com/p/N82E16824116781?Item=N82E16824116781&amp;Description=1080p monitor 27 inch&amp;cm_re=1080p_monitor 27 inch-_-24-116-781-_-Product"" title=""View Details"">ViewSonic VX2757-MHD 27"" Full HD 1920 x 1080 2ms 75Hz HDMI VGA DisplayPort AMD FreeSync Built-in Speakers Anti-Glare Backlit LED Gaming Monitor</a>","ViewSonic VX2757-MHD 27"" Full HD 1920 x 1080 2ms 75Hz HDMI VGA DisplayPort AMD FreeSync Built-in Speakers Anti-Glare Backlit LED Gaming Monitor",$164.99,Free Shipping,https://www.newegg.com/p/pl?d=1080p+monitor+27+inch&N=4814&page=1
